Gene stable ID	Protein stable ID version
ENSG00000303750	
ENSG00000303853	
ENSG00000278817	ENSP00000482514.1
ENSG00000276017	ENSP00000481613.1
ENSG00000297072	
ENSG00000297558	
ENSG00000298095	
ENSG00000308643	
ENSG00000301131	
ENSG00000303733	
ENSG00000305236	
ENSG00000309233	
ENSG00000300074	
ENSG00000298793	
ENSG00000300093	
ENSG00000303588	
ENSG00000300846	
ENSG00000307470	
ENSG00000308966	
ENSG00000306938	
ENSG00000301573	
ENSG00000309079	
ENSG00000307061	
ENSG00000295063	
ENSG00000301587	
ENSG00000309229	
ENSG00000310277	
ENSG00000303173	
ENSG00000303875	
ENSG00000303892	
ENSG00000307077	
ENSG00000303912	
ENSG00000275661	
ENSG00000310347	
ENSG00000276351	
ENSG00000308185	
ENSG00000276345	ENSP00000478035.1
ENSG00000306744	
ENSG00000277374	
ENSG00000306767	
ENSG00000273532	
ENSG00000303573	
ENSG00000294171	
ENSG00000308844	
ENSG00000309296	
ENSG00000293753	
ENSG00000299010	
ENSG00000309338	
ENSG00000276932	
ENSG00000302801	
ENSG00000309357	
ENSG00000302039	
ENSG00000306402	
ENSG00000307088	
ENSG00000294191	
ENSG00000304792	
ENSG00000304816	
ENSG00000309831	
ENSG00000274202	
ENSG00000299852	
ENSG00000303221	
ENSG00000304845	
ENSG00000299870	
ENSG00000300815	
ENSG00000304057	
ENSG00000275987	
ENSG00000268674	ENSP00000473163.2
ENSG00000277475	ENSP00000478882.1
ENSG00000275405	
ENSG00000298139	
ENSG00000299885	
ENSG00000293919	
ENSG00000298153	
ENSG00000275063	ENSP00000478289.1
ENSG00000298169	
ENSG00000277856	ENSP00000481152.1
ENSG00000307722	
ENSG00000298751	
ENSG00000310401	
ENSG00000298769	
ENSG00000301091	
ENSG00000298181	
ENSG00000303154	
ENSG00000276711	
ENSG00000302961	
ENSG00000309258	
ENSG00000293939	
ENSG00000293969	
ENSG00000297844	
ENSG00000278384	ENSP00000480106.1
ENSG00000301761	
ENSG00000296732	
ENSG00000273748	ENSP00000479921.1
ENSG00000296581	
ENSG00000296598	
ENSG00000296618	
ENSG00000307122	
ENSG00000307143	
ENSG00000307166	
ENSG00000296634	
ENSG00000296756	
ENSG00000309793	
ENSG00000274175	ENSP00000479378.1
ENSG00000273554	ENSP00000480079.1
ENSG00000273554	ENSP00000482251.1
ENSG00000275869	ENSP00000482038.1
ENSG00000278510	
ENSG00000273843	
ENSG00000301787	
ENSG00000277836	ENSP00000478725.1
ENSG00000294926	
ENSG00000295260	
ENSG00000296775	
ENSG00000295285	
ENSG00000295455	
ENSG00000295648	
ENSG00000296644	
ENSG00000296798	
ENSG00000297394	
ENSG00000297936	
ENSG00000300662	
ENSG00000301410	
ENSG00000303548	
ENSG00000303746	
ENSG00000288175	ENSP00000500300.1
ENSG00000288175	ENSP00000500394.1
ENSG00000288175	ENSP00000500231.3
ENSG00000304032	
ENSG00000304964	
ENSG00000288244	
ENSG00000276312	
ENSG00000276700	
ENSG00000275757	
ENSG00000305027	
ENSG00000273739	
ENSG00000298142	
ENSG00000305713	
ENSG00000301406	
ENSG00000288372	
ENSG00000307206	
ENSG00000306124	
ENSG00000288288	
ENSG00000288157	ENSP00000500673.1
ENSG00000288157	ENSP00000499999.1
ENSG00000307249	
ENSG00000310376	
ENSG00000288129	
ENSG00000308567	
ENSG00000288472	
ENSG00000310392	
ENSG00000288304	
ENSG00000288481	ENSP00000500536.1
ENSG00000288424	
ENSG00000309335	
ENSG00000310156	
ENSG00000288417	
ENSG00000290627	
ENSG00000288201	
ENSG00000288196	
ENSG00000288502	
ENSG00000288457	
ENSG00000288311	
ENSG00000288449	
ENSG00000288499	ENSP00000499851.1
ENSG00000288499	
ENSG00000288159	
ENSG00000288431	ENSP00000500776.1
ENSG00000288431	ENSP00000500816.1
ENSG00000306474	
ENSG00000306526	
ENSG00000282162	
ENSG00000281934	ENSP00000488512.1
ENSG00000288260	ENSP00000499933.1
ENSG00000288430	
ENSG00000288297	ENSP00000500743.1
ENSG00000282116	
ENSG00000282175	ENSP00000488130.1
ENSG00000282817	ENSP00000487743.1
ENSG00000288274	ENSP00000500347.1
ENSG00000282584	ENSP00000488161.1
ENSG00000288243	ENSP00000500793.1
ENSG00000288243	
ENSG00000288243	ENSP00000500691.1
ENSG00000288243	ENSP00000500823.1
ENSG00000288243	ENSP00000500679.1
ENSG00000288243	ENSP00000500685.1
ENSG00000288243	ENSP00000500885.1
ENSG00000288243	ENSP00000500450.1
ENSG00000288243	ENSP00000499985.1
ENSG00000282663	ENSP00000488485.1
ENSG00000279195	ENSP00000347211.4
ENSG00000279195	ENSP00000488446.1
ENSG00000282338	
ENSG00000282549	
ENSG00000282119	ENSP00000488780.1
ENSG00000282119	ENSP00000487731.1
ENSG00000282791	
ENSG00000282437	ENSP00000488085.1
ENSG00000291381	
ENSG00000291381	ENSP00000516855.1
ENSG00000291381	ENSP00000516856.1
ENSG00000291381	ENSP00000516857.1
ENSG00000282559	ENSP00000488124.1
ENSG00000291405	
ENSG00000282566	ENSP00000488003.1
ENSG00000282566	ENSP00000488324.1
ENSG00000291404	
ENSG00000291376	
ENSG00000291382	ENSP00000516858.1
ENSG00000291382	ENSP00000516859.1
ENSG00000291377	
ENSG00000291375	ENSP00000516839.1
ENSG00000291375	ENSP00000516840.1
ENSG00000291375	ENSP00000516841.1
ENSG00000291375	
ENSG00000282258	
ENSG00000291379	
ENSG00000291379	ENSP00000516843.1
ENSG00000291379	ENSP00000516844.1
ENSG00000291379	ENSP00000516842.1
ENSG00000291379	ENSP00000516845.1
ENSG00000291379	ENSP00000516846.1
ENSG00000282562	
ENSG00000288388	
ENSG00000288138	
ENSG00000282530	ENSP00000488742.1
ENSG00000282468	
ENSG00000291374	
ENSG00000290624	
ENSG00000291401	ENSP00000516862.1
ENSG00000291401	
ENSG00000291401	ENSP00000516863.1
ENSG00000291401	ENSP00000516865.1
ENSG00000291401	ENSP00000516864.1
ENSG00000291401	ENSP00000516866.1
ENSG00000282341	
ENSG00000281987	ENSP00000488002.1
ENSG00000282095	ENSP00000488276.1
ENSG00000291380	ENSP00000516848.1
ENSG00000291380	ENSP00000516849.1
ENSG00000291380	ENSP00000516847.1
ENSG00000291380	
ENSG00000291380	ENSP00000516850.1
ENSG00000291380	ENSP00000516851.1
ENSG00000291380	ENSP00000516852.1
ENSG00000291380	ENSP00000516853.1
ENSG00000291380	ENSP00000516854.1
ENSG00000282298	ENSP00000488044.1
ENSG00000282741	ENSP00000492522.1
ENSG00000282741	ENSP00000491482.1
ENSG00000282212	ENSP00000488059.2
ENSG00000282289	
ENSG00000291388	
ENSG00000282424	ENSP00000488527.1
ENSG00000291402	
ENSG00000291389	
ENSG00000291390	
ENSG00000291391	
ENSG00000291392	
ENSG00000291393	
ENSG00000291394	
ENSG00000291386	
ENSG00000282216	
ENSG00000282288	
ENSG00000291385	
ENSG00000282583	ENSP00000488892.1
ENSG00000282583	ENSP00000488817.1
ENSG00000282583	ENSP00000488367.1
ENSG00000291408	
ENSG00000291384	
ENSG00000291400	
ENSG00000282125	ENSP00000491658.1
ENSG00000293551	ENSP00000518878.1
ENSG00000291383	
ENSG00000291395	
ENSG00000291397	
ENSG00000291398	
ENSG00000291396	
ENSG00000291399	
ENSG00000291387	ENSP00000516860.1
ENSG00000291387	
ENSG00000291387	ENSP00000516861.1
ENSG00000292230	
ENSG00000291403	
ENSG00000292231	
ENSG00000291407	
ENSG00000292235	
ENSG00000292236	
ENSG00000292238	
ENSG00000292239	
ENSG00000292240	
ENSG00000292241	
ENSG00000292242	
ENSG00000292229	
ENSG00000292226	ENSP00000518170.1
ENSG00000292226	ENSP00000518834.1
ENSG00000292228	ENSP00000518836.1
ENSG00000292228	ENSP00000518172.1
ENSG00000281819	
ENSG00000292227	ENSP00000518171.1
ENSG00000292227	ENSP00000518835.1
ENSG00000263150	ENSP00000485975.1
ENSG00000262851	ENSP00000460931.1
ENSG00000261897	ENSP00000459586.1
ENSG00000262784	ENSP00000459132.1
ENSG00000292225	ENSP00000518833.1
ENSG00000292225	ENSP00000518168.1
ENSG00000262611	ENSP00000486842.1
ENSG00000262611	ENSP00000460360.2
ENSG00000280712	
ENSG00000262755	ENSP00000460880.1
ENSG00000281773	
ENSG00000280617	
ENSG00000263328	ENSP00000461384.1
ENSG00000281820	
ENSG00000262796	ENSP00000460206.1
ENSG00000262315	ENSP00000486165.1
ENSG00000281038	ENSP00000487204.1
ENSG00000280577	
ENSG00000291410	
ENSG00000291411	
ENSG00000291412	
ENSG00000291413	
ENSG00000291414	
ENSG00000291415	
ENSG00000291416	
ENSG00000291417	
ENSG00000291418	
ENSG00000291420	ENSP00000516869.1
ENSG00000291420	ENSP00000516870.1
ENSG00000291420	ENSP00000516871.1
ENSG00000291420	ENSP00000516872.1
ENSG00000291420	ENSP00000516873.1
ENSG00000291420	ENSP00000516874.1
ENSG00000291420	ENSP00000516875.1
ENSG00000291420	ENSP00000516876.1
ENSG00000291420	ENSP00000516877.1
ENSG00000291420	ENSP00000516878.1
ENSG00000291420	
ENSG00000291420	ENSP00000516879.1
ENSG00000291420	ENSP00000516880.1
ENSG00000291420	ENSP00000516881.1
ENSG00000291420	ENSP00000516882.1
ENSG00000291420	ENSP00000516883.1
ENSG00000291420	ENSP00000516884.1
ENSG00000291420	ENSP00000516885.1
ENSG00000291420	ENSP00000516886.1
ENSG00000291420	ENSP00000516887.1
ENSG00000291421	ENSP00000516888.1
ENSG00000291421	ENSP00000516889.1
ENSG00000291421	
ENSG00000291422	
ENSG00000291423	
ENSG00000291424	
ENSG00000291425	
ENSG00000288319	ENSP00000500619.1
ENSG00000288319	ENSP00000500369.1
ENSG00000288521	
ENSG00000288394	
ENSG00000288228	
ENSG00000288342	
ENSG00000288315	
ENSG00000288272	
ENSG00000281449	ENSP00000486050.1
ENSG00000281449	
ENSG00000281449	ENSP00000486791.1
ENSG00000281449	ENSP00000487566.1
ENSG00000281449	ENSP00000486862.1
ENSG00000281449	ENSP00000486796.1
ENSG00000281449	ENSP00000487330.1
ENSG00000281449	ENSP00000486560.1
ENSG00000281449	ENSP00000486273.1
ENSG00000281449	ENSP00000485980.1
ENSG00000281442	
ENSG00000283344	
ENSG00000281324	ENSP00000486315.1
ENSG00000281324	ENSP00000487008.1
ENSG00000281324	ENSP00000486758.1
ENSG00000281324	ENSP00000486524.1
ENSG00000281324	
ENSG00000281324	ENSP00000486383.1
ENSG00000290500	
ENSG00000261958	ENSP00000461395.1
ENSG00000262191	ENSP00000458970.1
ENSG00000281683	
ENSG00000262268	
ENSG00000262647	ENSP00000459325.1
ENSG00000281777	
ENSG00000281313	
ENSG00000281279	
ENSG00000262535	
ENSG00000281107	ENSP00000485881.1
ENSG00000281839	
ENSG00000280475	
ENSG00000206783	
ENSG00000281874	
ENSG00000207477	
ENSG00000281818	ENSP00000487587.1
ENSG00000281818	ENSP00000487244.1
ENSG00000281818	ENSP00000487019.1
ENSG00000281818	ENSP00000486216.1
ENSG00000281051	
ENSG00000281234	
ENSG00000280689	ENSP00000486120.1
ENSG00000280689	ENSP00000485829.1
ENSG00000280689	
ENSG00000280689	ENSP00000486584.1
ENSG00000281168	
ENSG00000280962	ENSP00000487512.1
ENSG00000280962	ENSP00000487034.1
ENSG00000280962	
ENSG00000280962	ENSP00000485919.1
ENSG00000280962	ENSP00000487493.1
ENSG00000281671	
ENSG00000281525	
ENSG00000288406	
ENSG00000291426	ENSP00000516890.1
ENSG00000291426	ENSP00000516891.1
ENSG00000291426	ENSP00000516892.1
ENSG00000291426	ENSP00000516893.1
ENSG00000291426	ENSP00000516894.1
ENSG00000291426	ENSP00000516895.1
ENSG00000291426	ENSP00000516896.1
ENSG00000291426	
ENSG00000288135	
ENSG00000288322	
ENSG00000288356	
ENSG00000288117	
ENSG00000291427	
ENSG00000291429	
ENSG00000291430	
ENSG00000291428	ENSP00000516897.1
ENSG00000291428	ENSP00000516898.1
ENSG00000291428	ENSP00000516900.1
ENSG00000291428	ENSP00000516899.1
ENSG00000291428	ENSP00000516901.1
ENSG00000291428	ENSP00000516902.1
ENSG00000291428	ENSP00000516903.1
ENSG00000291428	ENSP00000516904.1
ENSG00000291428	ENSP00000516905.1
ENSG00000291428	ENSP00000516906.1
ENSG00000291428	
ENSG00000291428	ENSP00000516908.1
ENSG00000291428	ENSP00000516907.1
ENSG00000291441	
ENSG00000291431	ENSP00000516909.1
ENSG00000291431	ENSP00000516910.1
ENSG00000291431	
ENSG00000291432	
ENSG00000291433	ENSP00000516911.1
ENSG00000291434	ENSP00000516912.1
ENSG00000291435	ENSP00000516913.1
ENSG00000291440	ENSP00000516914.1
ENSG00000291443	ENSP00000516916.1
ENSG00000291436	
ENSG00000291437	
ENSG00000291438	
ENSG00000291439	
ENSG00000291442	
ENSG00000291442	ENSP00000516915.1
ENSG00000291442	ENSP00000518169.1
ENSG00000292327	ENSP00000518592.1
ENSG00000292327	
ENSG00000292327	ENSP00000518591.1
ENSG00000292328	
ENSG00000292329	
ENSG00000292332	ENSP00000518590.1
ENSG00000292332	ENSP00000518613.1
ENSG00000292332	ENSP00000518612.1
ENSG00000292333	ENSP00000518611.1
ENSG00000292333	ENSP00000518610.1
ENSG00000292334	ENSP00000518609.1
ENSG00000292334	
ENSG00000292337	
ENSG00000292338	ENSP00000518604.1
ENSG00000292338	ENSP00000518603.1
ENSG00000292338	
ENSG00000292338	ENSP00000518602.1
ENSG00000292338	ENSP00000518601.1
ENSG00000292339	ENSP00000518600.1
ENSG00000292339	ENSP00000518599.1
ENSG00000292339	
ENSG00000292339	ENSP00000518598.1
ENSG00000292342	
ENSG00000292344	ENSP00000518594.1
ENSG00000292344	
ENSG00000292344	ENSP00000518593.1
ENSG00000292344	ENSP00000518615.1
ENSG00000292344	ENSP00000518614.1
ENSG00000292344	ENSP00000518661.1
ENSG00000292344	ENSP00000518660.1
ENSG00000292344	ENSP00000518659.1
ENSG00000292344	ENSP00000518658.1
ENSG00000292344	ENSP00000518657.1
ENSG00000292345	ENSP00000518656.1
ENSG00000292345	ENSP00000518655.1
ENSG00000292345	ENSP00000518654.1
ENSG00000292345	
ENSG00000292345	ENSP00000518653.1
ENSG00000292345	ENSP00000518652.1
ENSG00000292346	
ENSG00000292347	
ENSG00000292348	ENSP00000518651.1
ENSG00000292348	ENSP00000518650.1
ENSG00000292348	ENSP00000518649.1
ENSG00000292348	
ENSG00000292348	ENSP00000518648.1
ENSG00000292348	ENSP00000518647.1
ENSG00000292348	ENSP00000518646.1
ENSG00000292348	ENSP00000518645.1
ENSG00000292348	ENSP00000518644.1
ENSG00000292348	ENSP00000518643.1
ENSG00000292350	
ENSG00000292352	
ENSG00000292353	
ENSG00000292354	ENSP00000518642.1
ENSG00000292354	ENSP00000518641.1
ENSG00000292354	ENSP00000518640.1
ENSG00000292354	ENSP00000518639.1
ENSG00000292355	
ENSG00000292356	
ENSG00000292361	
ENSG00000292363	ENSP00000518625.1
ENSG00000292363	ENSP00000518624.1
ENSG00000292363	ENSP00000518623.1
ENSG00000292343	ENSP00000518597.1
ENSG00000292343	ENSP00000518596.1
ENSG00000292343	ENSP00000518595.1
ENSG00000292336	ENSP00000518608.1
ENSG00000292336	ENSP00000518607.1
ENSG00000292336	ENSP00000518606.1
ENSG00000292336	
ENSG00000292336	ENSP00000518605.1
ENSG00000292330	
ENSG00000285019	
ENSG00000285196	
ENSG00000292357	ENSP00000520927.1
ENSG00000292357	ENSP00000518638.1
ENSG00000292357	ENSP00000518637.1
ENSG00000292357	
ENSG00000292357	ENSP00000518636.1
ENSG00000292357	ENSP00000518635.1
ENSG00000292357	ENSP00000518634.1
ENSG00000292357	ENSP00000520928.1
ENSG00000292357	ENSP00000518633.1
ENSG00000292357	ENSP00000518632.1
ENSG00000292357	ENSP00000518631.1
ENSG00000292357	ENSP00000520929.1
ENSG00000292357	ENSP00000520930.1
ENSG00000292357	ENSP00000518630.1
ENSG00000292357	ENSP00000518629.1
ENSG00000292357	ENSP00000518628.1
ENSG00000292357	ENSP00000518627.1
ENSG00000285308	
ENSG00000288512	
ENSG00000288512	ENSP00000500036.1
ENSG00000288512	ENSP00000499988.1
ENSG00000288512	ENSP00000500489.1
ENSG00000288512	ENSP00000499829.1
ENSG00000288512	ENSP00000500736.1
ENSG00000288512	ENSP00000500431.1
ENSG00000288512	ENSP00000500599.1
ENSG00000288512	ENSP00000500795.1
ENSG00000288512	ENSP00000500888.1
ENSG00000288512	ENSP00000500788.1
ENSG00000285028	
ENSG00000285455	
ENSG00000285477	
ENSG00000310541	
ENSG00000310543	
ENSG00000310544	
ENSG00000310545	
ENSG00000310546	
ENSG00000292331	
ENSG00000310547	
ENSG00000310548	
ENSG00000292349	
ENSG00000292341	
ENSG00000310549	
ENSG00000310551	
ENSG00000310552	
ENSG00000292335	
ENSG00000310553	
ENSG00000310554	
ENSG00000310556	
ENSG00000310540	
ENSG00000292362	
ENSG00000288263	ENSP00000499886.1
ENSG00000288263	
ENSG00000288305	
ENSG00000292360	
ENSG00000310557	
ENSG00000288124	ENSP00000499811.1
ENSG00000288124	ENSP00000500880.1
ENSG00000288124	ENSP00000500804.1
ENSG00000288124	
ENSG00000288124	ENSP00000500003.1
ENSG00000288124	ENSP00000500666.1
ENSG00000288124	ENSP00000500244.1
ENSG00000288124	ENSP00000500596.1
ENSG00000288124	ENSP00000500757.1
ENSG00000288124	ENSP00000500377.1
ENSG00000292358	ENSP00000520931.1
ENSG00000292358	
ENSG00000292358	ENSP00000518626.1
ENSG00000292364	
ENSG00000292365	
ENSG00000292366	ENSP00000518622.1
ENSG00000292366	
ENSG00000292366	ENSP00000518621.1
ENSG00000292366	ENSP00000518620.1
ENSG00000292366	ENSP00000518619.1
ENSG00000292367	
ENSG00000292368	
ENSG00000292369	
ENSG00000292371	
ENSG00000292372	
ENSG00000292372	ENSP00000518618.1
ENSG00000310550	
ENSG00000310555	
ENSG00000292370	
ENSG00000288352	
ENSG00000292373	ENSP00000518617.1
ENSG00000292373	ENSP00000520932.1
ENSG00000292373	
ENSG00000310542	
ENSG00000288369	
ENSG00000288369	ENSP00000500050.1
ENSG00000288369	ENSP00000500221.1
ENSG00000288369	ENSP00000500251.1
ENSG00000215601	
ENSG00000215603	
ENSG00000225878	
ENSG00000236435	
ENSG00000258991	
ENSG00000224518	
ENSG00000231988	
ENSG00000238073	
ENSG00000275866	
ENSG00000271595	
ENSG00000183704	
ENSG00000232927	
ENSG00000277438	
ENSG00000259154	
ENSG00000284403	
ENSG00000288383	
ENSG00000169789	ENSP00000302319.1
ENSG00000169789	ENSP00000474674.1
ENSG00000288427	ENSP00000500349.1
ENSG00000288427	ENSP00000500510.1
ENSG00000288427	
ENSG00000288427	ENSP00000500913.1
ENSG00000288427	ENSP00000500879.1
ENSG00000288427	ENSP00000500680.1
ENSG00000288427	ENSP00000500105.1
ENSG00000288427	ENSP00000500213.1
ENSG00000288427	ENSP00000500657.1
ENSG00000273589	
ENSG00000273863	
ENSG00000271375	
ENSG00000224634	
ENSG00000285470	
ENSG00000234620	
ENSG00000236690	
ENSG00000273693	
ENSG00000114374	
ENSG00000114374	ENSP00000498372.1
ENSG00000114374	ENSP00000342812.3
ENSG00000114374	ENSP00000406876.1
ENSG00000169807	ENSP00000303300.1
ENSG00000169807	ENSP00000474545.1
ENSG00000223422	
ENSG00000231159	
ENSG00000225653	
ENSG00000251618	
ENSG00000229159	
ENSG00000228578	
ENSG00000288281	
ENSG00000275280	
ENSG00000288116	
ENSG00000270242	
ENSG00000236477	
ENSG00000237997	
ENSG00000244246	
ENSG00000198692	ENSP00000354722.2
ENSG00000198692	
ENSG00000198692	ENSP00000372222.3
ENSG00000288217	ENSP00000499871.1
ENSG00000288217	ENSP00000500922.1
ENSG00000288217	ENSP00000499823.1
ENSG00000288217	ENSP00000499961.1
ENSG00000288217	ENSP00000500696.1
ENSG00000288217	ENSP00000500271.1
ENSG00000288217	
ENSG00000288217	ENSP00000500043.1
ENSG00000288217	ENSP00000500441.1
ENSG00000288217	ENSP00000500701.1
ENSG00000288217	ENSP00000500509.1
ENSG00000288217	ENSP00000500694.1
ENSG00000288217	ENSP00000500769.1
ENSG00000288217	ENSP00000500661.1
ENSG00000288217	ENSP00000499952.1
ENSG00000288217	ENSP00000500230.1
ENSG00000288217	ENSP00000500790.1
ENSG00000288217	ENSP00000500332.1
ENSG00000291444	
ENSG00000291445	
ENSG00000291446	
ENSG00000291447	
ENSG00000291448	
ENSG00000291449	
ENSG00000291450	
ENSG00000291451	
ENSG00000291452	
ENSG00000291453	
ENSG00000291455	ENSP00000516917.1
ENSG00000291455	ENSP00000516918.1
ENSG00000291455	ENSP00000516919.1
ENSG00000291455	
ENSG00000183753	ENSP00000473270.1
ENSG00000183753	ENSP00000329106.3
ENSG00000183753	
ENSG00000183753	ENSP00000372028.1
ENSG00000291456	
ENSG00000291457	
ENSG00000291458	ENSP00000516920.1
ENSG00000291458	ENSP00000516921.1
ENSG00000291458	ENSP00000516922.1
ENSG00000291458	
ENSG00000225433	
ENSG00000235857	
ENSG00000223955	
ENSG00000270455	
ENSG00000291459	ENSP00000516923.1
ENSG00000291460	
ENSG00000291461	
ENSG00000291462	
ENSG00000229940	
ENSG00000234385	
ENSG00000291454	
ENSG00000226863	
ENSG00000293355	
ENSG00000237968	
ENSG00000271365	
ENSG00000259029	
ENSG00000215537	
ENSG00000230476	
ENSG00000229745	
ENSG00000275828	
ENSG00000225615	
ENSG00000232522	
ENSG00000234131	
ENSG00000277519	
ENSG00000259247	
ENSG00000273731	
ENSG00000215583	
ENSG00000274162	
ENSG00000227444	
ENSG00000233774	
ENSG00000228764	
ENSG00000232226	
ENSG00000224567	
ENSG00000241200	
ENSG00000228518	
ENSG00000274231	
ENSG00000274502	
ENSG00000278854	
ENSG00000225809	
ENSG00000237902	
ENSG00000232419	
ENSG00000226906	
ENSG00000230025	
ENSG00000235649	
ENSG00000258567	
ENSG00000234179	
ENSG00000271309	
ENSG00000229553	
ENSG00000228240	
ENSG00000234652	
ENSG00000218410	
ENSG00000224989	
ENSG00000232029	
ENSG00000273858	
ENSG00000227830	
ENSG00000226529	
ENSG00000274837	
ENSG00000216777	
ENSG00000216824	
ENSG00000276829	
ENSG00000228850	
ENSG00000283076	
ENSG00000234850	
ENSG00000224873	
ENSG00000229234	
ENSG00000270570	
ENSG00000223517	
ENSG00000228207	
ENSG00000224917	
ENSG00000225117	
ENSG00000215560	
ENSG00000228411	
ENSG00000244395	ENSP00000372099.2
ENSG00000244395	ENSP00000372127.1
ENSG00000244395	ENSP00000399181.2
ENSG00000230814	
ENSG00000229725	
ENSG00000229518	
ENSG00000232730	
ENSG00000244000	
ENSG00000232764	
ENSG00000236131	
ENSG00000227949	
ENSG00000252900	
ENSG00000252689	
ENSG00000243980	
ENSG00000252315	
ENSG00000252012	
ENSG00000273966	
ENSG00000252173	
ENSG00000252323	
ENSG00000169953	ENSP00000340971.4
ENSG00000169953	
ENSG00000169953	ENSP00000372303.1
ENSG00000169953	ENSP00000306549.3
ENSG00000282467	
ENSG00000236429	
ENSG00000249501	
ENSG00000228193	
ENSG00000248573	
ENSG00000230904	
ENSG00000238135	
ENSG00000251970	
ENSG00000238088	
ENSG00000217179	
ENSG00000217896	
ENSG00000185275	
ENSG00000252766	
ENSG00000274282	
ENSG00000234529	
ENSG00000238191	
ENSG00000226353	
ENSG00000226449	
ENSG00000225896	
ENSG00000229129	
ENSG00000223555	
ENSG00000235521	
ENSG00000252513	
ENSG00000224964	
ENSG00000225740	
ENSG00000229138	
ENSG00000224485	
ENSG00000226116	
ENSG00000237558	
ENSG00000233378	
ENSG00000237616	
ENSG00000224033	
ENSG00000230412	
ENSG00000225895	
ENSG00000233120	
ENSG00000252166	
ENSG00000232744	
ENSG00000229465	
ENSG00000236599	
ENSG00000232899	
ENSG00000229302	
ENSG00000228945	
ENSG00000278391	
ENSG00000251953	
ENSG00000252667	
ENSG00000249726	
ENSG00000225716	
ENSG00000229406	
ENSG00000252209	
ENSG00000249634	
ENSG00000238067	
ENSG00000233546	
ENSG00000230377	
ENSG00000250951	
ENSG00000230458	
ENSG00000235479	
ENSG00000249606	
ENSG00000267793	
ENSG00000260197	
ENSG00000012817	
ENSG00000012817	ENSP00000322408.4
ENSG00000012817	ENSP00000444293.1
ENSG00000012817	ENSP00000372256.2
ENSG00000012817	ENSP00000398543.1
ENSG00000012817	ENSP00000389433.1
ENSG00000012817	ENSP00000416377.1
ENSG00000284255	ENSP00000491819.1
ENSG00000284278	
ENSG00000284123	
ENSG00000292249	ENSP00000518199.1
ENSG00000172468	ENSP00000303599.2
ENSG00000172468	ENSP00000311166.4
ENSG00000172468	ENSP00000342302.4
ENSG00000172468	ENSP00000372307.2
ENSG00000176679	ENSP00000318502.4
ENSG00000176679	ENSP00000453750.1
ENSG00000169800	ENSP00000307155.7
ENSG00000169800	
ENSG00000169800	ENSP00000406005.2
ENSG00000288463	
ENSG00000182415	ENSP00000250838.4
ENSG00000233126	
ENSG00000227251	
ENSG00000252633	
ENSG00000251996	
ENSG00000252155	
ENSG00000252472	
ENSG00000224953	
ENSG00000274365	
ENSG00000233634	
ENSG00000237701	
ENSG00000273906	
ENSG00000232976	
ENSG00000226270	
ENSG00000227837	
ENSG00000278602	
ENSG00000223978	
ENSG00000278197	
ENSG00000230819	
ENSG00000185894	ENSP00000371724.1
ENSG00000185894	
